input_row_key,input_company_name,input_main_country,input_main_city,nivel_incredere,match_score,veridion_id,company_name,company_legal_names,main_country,main_region,main_city,main_postcode,main_street,company_type,year_founded,revenue,revenue_type,employee_count,employee_count_type,naics_2022_primary_label,main_industry,main_sector,website_url,primary_email,primary_phone,linkedin_url,short_description
11,Accutics ApS,Denmark,Odense,incredere_ridicata_automat,106.7,347c7e63-93e5-11eb-90d2-e3355a7e800b,Accutics,Accutics ApS.,Denmark,Capital Region Of Denmark,Copenhagen Municipality,1463,Farvergade,Private,2017.0,12575664.0,modelled,40.0,extracted,Software Publishers,Software & IT Services,IT&C Services,https://www.accutics.com/,cnf@accutics.com,4526181402.0,https://www.linkedin.com/company/accutics,Use Accutics to standardize your marketing data from a single platform. One shared data language. Simple workflows. Fully connected. Discover how it works
12,ACOME,France,Paris,incredere_ridicata_automat,111.0,fed105d4-93e4-11eb-9937-4fab995bf8ff,ACOME Company a Cooperative,ACOME GmbH,France,Ile-de-France,Paris,75014,Rue Du Montparnasse,Private,1932.0,655900032.0,extracted,3000.0,modelled,Other Communication and Energy Wire Manufacturing,Electrical & Electronic Equipment,Electronics & Appliances,https://www.acome.com/en,,33142791500.0,https://www.linkedin.com/company/acome,"As a partner of reference for OEMs and integrators, we must continue to propose innovative solutions for applications in which cables can play a part in reducing the weight or cost of a vehicle. ACOMEs expertise in materials chemistry, plasturgy (compounds) and metal sciences and the Group’s commitment to provide an efficient response to the challenges related to the cabling systems required for new energy vehicles are the best allies for this strategy.” STÉPHANE SAMSON, Director of the Automotive Industry branch"
13,"ACOME XINTAI CABLES CO., LTD.",China,Xintai,incredere_ridicata_automat,105.9,1000ca72-f7d7-11ed-bb8f-e9ec1594da2e,Acome Xintai Cables Co. Ltd.,Acome Xintai Cables Co. Ltd.,China,Beijing,Chaoyang,100004,Chaoyang Road,,,,,,,,,,,,,,
14,ADAPT A/S,Denmark,Copenhagen,incredere_ridicata_automat,111.0,e8772100-93e4-11eb-b5f6-816dd10ac7b0,Adapt Agency,Adapt A/S.,Denmark,Capital Region Of Denmark,Copenhagen,1411,Langebrogade,Private,1998.0,35819152.0,modelled,160.0,extracted,Advertising Agencies,Marketing & Advertising Agencies,Advertising & Marketing,https://adaptagency.com/,hello@adaptagency.com,4533411050.0,https://www.linkedin.com/company/adapt-a-s,"140+ digital experts who master design, UX, development, delivery and optimization making us the one-stop agency for all your digital needs."
15,ADECCO A/S,Denmark,Kongens Lyngby,incredere_medie_de_verificat,72.5,3d1f6d90-1579-11ee-8c08-a59aa7cafccb,Adecco Hillerød,,Denmark,Capital Region Of Denmark,Hillerød,3400,Frederiksgade,Private,,,,,,Employment Placement Agencies,HR Services,Other Professional Services,,,4538381340.0,,"Adecco Hillerød is a hr consulting & employment agency based in Hillerød, Denmark."
16,ADECCO PERSONNEL PTE LTD,Singapore,,incredere_ridicata_automat,108.0,410a4cc3-93e5-11eb-9937-4fab995bf8ff,Adecco Singapore,Adecco Personnel Pte Ltd.,Singapore,Central,Singapore,228208,Scotts Road,Private,,,,,,Employment Placement Agencies,HR Services,Other Professional Services,http://www.adecco.com.sg/,contact.sg@adecco.com,6565368566.0,,"Kickstart your career with Adecco’s job search platform in Singapore. Explore job listings, hiring services, and recruitment support. Find your next job here !"
17,ADOBE SYSTEMS SOFTWARE IRELAND LIMITED,Ireland,Dublin,incredere_ridicata_automat,109.8,099ed3a8-1afb-11ec-a882-057f42292856,Adobe Systems Software Ireland,,Ireland,Leinster,Dublin 24,,Riverwalk,Private,,,,,,Computer Systems Design Services,Software & IT Services,IT&C Services,,,35312426721.0,,Adobe Systems Software Ireland is a tech company based in Ireland.
18,ADVANCED DIGITAL BROADCAST SA,Switzerland,Bellevue,incredere_ridicata_automat,105.5,47b15560-93e5-11eb-91fb-73d498260b10,ADB,ADB Italia S.r.l. | Advanced Digital Broadcast SA.,Switzerland,Geneva,Pregny-Chambésy,,,Private,1995.0,450000000.0,extracted,350.0,extracted,Wired Telecommunications Carriers,Media Companies,Publishers & Media Companies,https://www.adbglobal.com/,info@adbglobal.com,41227990799.0,https://pl.linkedin.com/company/adb,ADB creates and deploys the most complete and efficient system solutions that bring best video experience and broadband services to Gigabit Home and Enterprise environments.
19,Advanced Network Solutions Sdn Bhd,Malaysia,Shah Alam,incredere_ridicata_automat,111.0,3c9b6969-fdd5-11ef-8bcd-e7d9bf87b1c1,Advanced Network Solutions Sdn. Bhd.,Advanced Network Solutions Sdn. Bhd.,Malaysia,Selangor,Shah Alam,40150,Jalan Monterez Golf Club,,,,,,,,,,,,,,
20,ADVANSIA AS,Norway,Oslo,incredere_ridicata_automat,111.0,a9f7869f-93e4-11eb-97db-273ba5953680,Advansia,,Norway,Oslo,Oslo,0283,Lilleakerveien,Private,2010.0,201516784.0,modelled,600.0,extracted,Engineering Services,Engineering Services,Architecture & Engineering Services,https://www.advansia.no/,hans.hagby@advansia.no,4724101010.0,https://www.linkedin.com/company/advansia,En ledende rådgivnings- og ingeniørvirksomhet som tilbyr fremtidsrettede og bærekraftige løsninger.
21,AEGER GROUP AS,Norway,Oslo,incredere_ridicata_automat,111.0,2d7be421-93e5-11eb-be5a-4f810ab55f2e,Aeger Group,,Norway,Oslo,Oslo,0157,Nedre Slottsgate,Private,2012.0,3709650.0,modelled,13.0,extracted,Custom Computer Programming Services,Software & IT Services,IT&C Services,https://www.aeger.no/,post@aeger.no,4796508040.0,https://no.linkedin.com/company/aeger-group,"Vi leverer trygghet gjennom kompetanse og kvalitet, og hjelper våre kunder til å nå sine mål."
22,AFFIRMED NETWORKS INC,United States,Acton,incredere_ridicata_automat,111.0,ef392bbd-93e4-11eb-919a-b3f9a5ad205c,Affirmed Networks,,United States,Massachusetts,Acton,01720,Nagog Park,Private,2010.0,75000000.0,extracted,120.0,extracted,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,https://www.affirmednetworks.com/,an_marketing@microsoft.com,19782680800.0,http://www.linkedin.com/company/affirmed-networks,"Affirmed's fully virtualized, cloud-native solutions allow operators to transform the economics of deploying and scaling 3G, 4G, 5G, and Wi-Fi mobile services."
23,Agg Power Technology (Fuzhou) Co Ltd.,China,Fuzhou City,incredere_ridicata_automat,86.0,475daed5-0c7d-11ec-b9ed-b7cae580407c,AGG Power,,China,Fujian,Fuzhou City,350000,,Private,,5672347.0,modelled,85.0,modelled,Motor and Generator Manufacturing,Electrical & Electronic Equipment,Electronics & Appliances,http://aggpower.cn/,info@aggpowersolutions.com,8615161582335.0,,"AGG Power is an electric supplies & power generation supplier based in Fuzhou City, China."
24,AIA Berhad,Malaysia,Kuala Lumpur,incredere_ridicata_automat,84.1,000b3360-93e5-11eb-919a-b3f9a5ad205c,AIA Malaysia,AIA Group Limited,Malaysia,Kuala Lumpur,Kuala Lumpur,50450,Ampang Road,Private,1948.0,1413421440.0,modelled,5000.0,extracted,Direct Life Insurance Carriers,Insurance,Finance & Insurance,https://www.aia.com.my/,lowkahhung.5188s@aia-premier.com.my,601300881899.0,http://www.linkedin.com/company/aia-malaysia,The AIA Elite Academy offers an exclusive programme that aims to develop a new generation of highly d
25,AIG EUROPE S.A. NUF,Norway,Oslo,incredere_ridicata_automat,104.8,379975dc-93e5-11eb-90d2-e3355a7e800b,AIG Norge,AIG Europe S.A.,Norway,Oslo,Oslo,0160,Rosenkrantz’ Gate,Private,1988.0,28010168.0,modelled,20.0,extracted,Direct Property and Casualty Insurance Carriers,Insurance,Finance & Insurance,https://www.aig.no/,csg.norway@aig.com,4722002080.0,https://www.linkedin.com/company/aig,"Merican International Group, Inc. (AIG) er et av verdens ledende forsikringsselskaper med kunder i over 80 land. AIG forsikrer bedrifter og privatpersoner over hele verden mot skade gjennom et av bransjens mest omfattende skadeforsikringsnettverk. I Norge tilbyr AIG forsikringsløsninger rettet mot det norske og multinasjonale bedriftsmarkedet. Vi forsikrer de fleste type virksomheter uavhengig av størrelse og bransje."
26,AKTIESELSKABET RODOVRE CENTRUM,Denmark,Rødovre Municipality,incredere_ridicata_automat,105.0,eab4a797-e56c-11ed-86c6-9fd2c95fb352,Aktieselskabet Rødovre Centrum,,Denmark,Capital Region Of Denmark,Rødovre Municipality,2610,Rødovre Centrum,,,,,,,,,,,,,,
27,ALLEN OVERY SHEARMAN STERLING LLP,United Kingdom,London,incredere_ridicata_automat,111.0,19609053-0bbc-11ee-900c-9bee0d280070,A&O Shearman,Allen Overy Shearman Sterling LLP.,United Kingdom,England,London,E1 6AD,Bishops Square,Private,1930.0,2400000000.0,extracted,5800.0,extracted,Offices of Lawyers,Lawyers,Legal,https://www.aoshearman.com/en,lorenz.haselberger@aoshearman.com,33140065400.0,https://uk.linkedin.com/company/aoshearman,"On May 1, 2024, Allen & Overy and Shearman & Sterling merged to become A&O Shearman."
28,ALTAIR GLOBAL RELOCATION SINGAPORE PTE. LTD.,Singapore,Singapore,incredere_ridicata_automat,88.6,cfdf1a86-0be7-11ee-b777-4f8aa0e12aee,Altair Global Relocation,,,,,,,,,,,,,,,,https://ovoaltair.com/,,,,
29,"AMAZON WEB SERVICES, INC.",United States,Seattle,incredere_ridicata_automat,111.0,c89d4e1b-bfde-11ec-92f4-876998402e2b,Amazon Web Services | API Gateway,,United States,Washington,Seattle,,,Private,,701700.0,modelled,2.0,extracted,Computer Systems Design Services,Software & IT Services,IT&C Services,,,,http://www.linkedin.com/company/aws-api-gateway,"Amazon API Gateway is a fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale."
30,AMAZON WEB SERVICES EMEA SARL,Luxembourg,,incredere_ridicata_automat,105.9,d7db1d69-93e4-11eb-90d2-e3355a7e800b,TKBEL,Amazon Web Service EMEA SARL,Luxembourg,Canton Diekirch,Ettelbruck,9053,Avenue John F. Kennedy,Private,2020.0,1091872.0,modelled,4.0,extracted,Educational Support Services,Professional Schools,Education,https://tkbel.fr/,support@tkbel.fr,,https://www.linkedin.com/company/tkbel,TKBEL offers an application allowing all your teachers to be heard directly via headphones.
31,"AMAZON WEB SERVICES EMEA SARL, NORWEGIAN BRANCH",Norway,Oslo,incredere_ridicata_automat,84.3,4706bd71-93e5-11eb-aa66-9b8d95e2171b,Amazon Web Services EMEA,,,,,,,Private,,,,,,"Colleges, Universities, and Professional Schools",Education,Education,https://logitech-events.com/,info@logitech-events.com,,,
32,AMDOCS DEVELOPMENT LIMITED,Cyprus,Limassol,incredere_medie_de_verificat,75.0,0e49a2f2-13c3-11ec-905e-ffe44897cbcf,Amdocs,,,,,,,Private,,,,,,Telecommunications Resellers,Telecommunication Services,IT&C Services,http://xacct.net/,,,https://www.linkedin.com/company/amdocs,Discover the agility to deliver a jaw-dropping digital experience that always exceeds expectations.
33,"American Express Europe Denmark, filial af American Express Europe S.A., Spanien",Denmark,Copenhagen,incredere_medie_de_verificat,62.6,00304b2c-20c9-11ee-be66-7b2fbd8ee4f0,American Express Corp.,American Express Corp.,United States,New York,New York,11213,Troy Avenue,,,,,,,,,,,,,,
34,American Express Europe SA (Norway),Norway,Oslo,incredere_ridicata_automat,95.8,d791fd63-e113-11ec-a72c-1538a9321a8e,American Express Company AS,,Norway,Oslo,Oslo,0191,Dronning Eufemias Gate,Private,,,,,,,Banks & Financial Services,Finance & Insurance,http://www.americanexpress.no/?opi=79508299&sa=U&ved=0ahUKEwiJ-N_liKSMAxX2TGwGHZRzErcQ61gIEigO&usg=AOvVaw27wLoj6gX0wm9eKmXSSFGk,,,,"American Express Company AS is a loans & financing company based in Oslo, Norway."
35,ANALYSYS MASON AS,Norway,Oslo,incredere_ridicata_automat,93.3,e97d1f55-93e4-11eb-be3a-7f925cb94351,Analysys Mason,Analysys Mason Limited,Italy,Lombardy,Milan,20121,Corso Venezia,Private,1985.0,95000000.0,extracted,470.0,extracted,Administrative Management and General Management Consulting Services,Business Consulting,Other Professional Services,https://www.analysysmason.com/,web_enquiries@analysysmason.com,442073959000.0,https://www.linkedin.com/company/analysys-mason,"Analysys Mason is a global technology, media and telecoms consulting firm helping clients to shape, make and act on the decisions that steer progress and connect our world."
36,MASON SITE FINDER LIMITED,United Kingdom,Salford,incredere_medie_de_verificat,72.8,e16f0714-729b-11ec-82c4-1d4ff65030ff,Mason Contract Services,Mason Contract Services Ltd. | Mason Site Services Ltd.,United Kingdom,England,Grays,RM16 6RA,Dupre Close,Private,,7168688.0,modelled,15.0,modelled,Commercial and Institutional Building Construction,General Contractors & Heavy Construction,Construction,https://masongroup.co.uk/,office@masongroup.co.uk,447794030793.0,,Mason Contract Services Ltd offers building contractor and maintenance services in London and all over the South East.
37,ANDCO A/S,Denmark,Copenhagen,incredere_ridicata_automat,111.0,d7aa707f-93e4-11eb-9937-4fab995bf8ff,Andco A/S.,Andco A/S.,Denmark,Capital Region Of Denmark,Copenhagen,1304,Adelgade,Private,,16790228.0,modelled,75.0,modelled,Advertising Agencies,Marketing & Advertising Agencies,Advertising & Marketing,https://www.andco.dk/,,4533463300.0,,"Andco A/S. is a digital & marketing agency based in Copenhagen, Denmark."
38,Annalect Denmark A/S,Denmark,Copenhagen,incredere_ridicata_automat,105.4,cfc5f77c-ce95-11ed-953a-9d8f156b9731,ANNALECT,,Denmark,Capital Region Of Denmark,Copenhagen,2100,Midtermolen,Private,2016.0,8702370.0,modelled,40.0,extracted,Marketing Consulting Services,Marketing & Advertising Agencies,Advertising & Marketing,https://annalectnordics.com/,denmark@annalect.com,46852225900.0,https://dk.linkedin.com/company/annalect-nordic,"Over a decade ago, Omnicom created Annalect to reimagine the future of marketing, at the crossroads of data, tech & analytics. Annalect is Omnicom Media Groups analytic consultancy units servicing global and local brand in all business, marketing and consumer related insights"
39,Anne Mette Lund,Denmark,Haderslev,incredere_ridicata_automat,90.0,02e56300-fff5-11eb-ba37-0759ad39afe6,Anne Lund,,Denmark,North Denmark Region,Aalborg,9000,Lyøgade,Private,2004.0,97573.0,modelled,1.0,extracted,Offices of Mental Health Practitioners (except Physicians),Mental Health Specialists,Health Care & Social Assistance,https://annelund.dk/,anne@annelund.dk,4560635279.0,,"Leder du efter en terapeut i Nordjylland nær Aalborg ?Jeg, Anne Lund er psykoterapeut og arbejder med forskellige behandlingsmetoder."
40,ANRITSU A/S,Denmark,Copenhagen,incredere_ridicata_automat,88.9,172e7ea7-0523-11ec-a64f-cb86dbe4969b,ANRITSU,,,,,,,Private,,,,,,Frozen Specialty Food Manufacturing,Food Producers & Distributors,Food & Beverages,https://tiancunwu.com/,,,,
41,Aon Assessment Denmark A/S,Denmark,Copenhagen,incredere_medie_de_verificat,65.2,8ebb9a30-f868-11ed-a012-23d8e35cf067,Aon Invest A/S.,Aon Invest A/S.,Denmark,Central Denmark Region,Aarhus,8000,Niels W. Gades Vej,,,,,,,,,,,,4586144111.0,,
42,AON NORWAY AS,Norway,Oslo,incredere_ridicata_automat,111.0,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,Aon Norway,,Norway,Oslo,Oslo,0158,Stortingsgata,,,,,82.0,extracted,,,,,,,http://www.linkedin.com/company/aon-norge-as,
43,APPDYNAMICS UK LTD,United Kingdom,London,incredere_ridicata_automat,99.9,f7b252d4-fa1c-11ec-83db-47cce081a4ab,AppDynamic,AppDynamics International Ltd.,United Kingdom,England,Feltham,TW14 8HA,New Square,Private,,,,,,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,http://stluciakitefiesta.com/,privacy@appdynamics.com,33158045471.0,https://www.linkedin.com/company/appdynamics,"The AppDynamics Business Observability Platform helps you see, understand, and optimize your back end operations to accelerate your organization’s evolution"
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Ireland,,incredere_ridicata_automat,108.0,72b33d10-1afd-11ec-9842-212d1c52ad77,Apple Distribution International,,Ireland,Munster,Cork,T23 N250,Hollyhill Lane,,,,,,,,,,,,353214284000.0,,
45,APPLE DISTRIBUTION INTERNATIONAL LIMITED,Ireland,Cork,incredere_ridicata_automat,111.0,72b33d10-1afd-11ec-9842-212d1c52ad77,Apple Distribution International,,Ireland,Munster,Cork,T23 N250,Hollyhill Lane,,,,,,,,,,,,353214284000.0,,
46,Apple Malaysia Sdn. Bhd.,Malaysia,Kuala Lumpur,incredere_ridicata_automat,111.0,50c0e708-22bf-11ec-9024-ef7bc13965aa,Apple Malaysia Sdn Bhd.,Apple Malaysia Sdn Bhd.,Malaysia,Kuala Lumpur,Kuala Lumpur,50470,Jalan Stesen Sentral 2,,,,,,,,,,,,60322657000.0,,
48,ARELION NORWAY AS,Norway,Oslo,incredere_ridicata_automat,83.3,2ea1cc81-6cec-11ec-b66d-cb87af2d682b,Arelion,,,,,,,,,,,1.0,extracted,,Blogs & Publications,Blogs & Publications,https://arelion.wordpress.com/,,,,Fantasyroman über die Liebe zu einem Vampirfürsten
49,Arelion AB,Sweden,Stockholm,incredere_ridicata_automat,106.6,34818680-89c1-11ec-a621-3f13cdb5ccc4,Arelion,Arelion AB. | Arelion UK Ltd. | Arelion Singapore Pte Ltd. | Arelion Hong Kong Ltd.,Sweden,Stockholm County,Farsta,,,Private,1993.0,454000000.0,extracted,530.0,extracted,All Other Telecommunications,Telecommunication Services,IT&C Services,https://arelion.com/,support@arelion.com,420222512711.0,https://www.linkedin.com/company/arelion,"Our Wavelength customers are typically content providers and operators who build their own IP backbone networks, request remote peering or access to the cloud, and also enterprises with a need for highly transparent, dedicated bandwidth (including media, gaming, finance, manufacturing and research)."
50,ARY COMMUNICATIONS LIMITED,Pakistan,Karachi,incredere_ridicata_automat,100.0,bf0ce2f5-046a-11ec-9463-61636738658c,Jeeto Pakistan Helpline,ARY communications Pvt. limited | ARY communications private limited,,,,,,Private,2014.0,,,,,,Software & IT Services,IT&C Services,https://www.jeetopakistanheadofficehelpline.com/,,,,Jeeto Pakistan Helpline Jeeto Pakistan Number 0301-9279748
51,"Ascio Technologies, Corp. Danmark - Filial af Ascio Technologies Corp. Canada",Denmark,Gentofte Municipality,incredere_ridicata_automat,82.3,c7288490-93e4-11eb-8859-29e7c34dee35,Ascio Technologies,Ascio Technologies Corp.,Denmark,Capital Region Of Denmark,Copenhagen,2300,Ørestads Boulevard,Private,1999.0,5400000.0,extracted,71.0,extracted,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,https://www.ascio.com/,help@ascio.com,4533886100.0,http://www.linkedin.com/company/ascio,"One Connection for your domain management services, We offer all gTLDs, ccTLDs, IDNs, New gTLDs, SSL certificates, domain security and other domain Services."
52,ASIAINFO DENMARK ApS,Denmark,Copenhagen,incredere_ridicata_automat,94.7,835ed977-93e4-11eb-b5f6-816dd10ac7b0,AsiaInfo,AsiaInfo Denmark APS.,China,Jiangxi,Nanchang,,,Private,1993.0,1279237.0,modelled,30.0,extracted,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,https://www.asiainfo.eu/,sales@asiainfo.eu,861082166614.0,http://www.linkedin.com/company/asiainfodk,"From device to platform and apps, we are building industry IIoT applications to automate and digitize your facility based on AI technology."
53,Atea A/S,Denmark,Ballerup,incredere_ridicata_automat,93.4,431d0020-93e5-11eb-be5a-4f810ab55f2e,Atea Danmark,Atea ASA. | Atea Finans A/S.,Denmark,Capital Region Of Denmark,Ballerup,2750,Lautrupvang,Private,1968.0,14100000.0,extracted,1400.0,extracted,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,http://www.atea.dk/,salgssupport@atea.dk,4570252550.0,http://www.linkedin.com/company/atea-danmark,"Vi lever i en verden, hvor mennesker har adgang til al kommunikation, information og hinanden."
54,ATEA AS,Norway,Oslo,incredere_ridicata_automat,111.0,c9fab753-93e4-11eb-919a-b3f9a5ad205c,Atea Logistics,Atea Sverige AB.,Norway,Oslo,Oslo,0579,Karvesvingen,Public,1981.0,3700000000.0,extracted,160.0,extracted,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Telecommunication Services,IT&C Services,https://atea.com/,,4722095000.0,http://www.linkedin.com/company/atea-logistics-ab,Get maximum value from your IT investments.
55,Atea Sverige AB,Sweden,Stockholms Kommun,incredere_ridicata_automat,109.2,10fa6017-93e5-11eb-aa66-9b8d95e2171b,Voister,Atea Sverige AB.,Sweden,Stockholm County,Stockholm,164 21,Kronborgsgränd,Private,2016.0,868927.0,modelled,5.0,extracted,Periodical Publishers,Newspapers & Magazines,Publishers & Media Companies,https://voister.se/,nyheter@voister.se,,https://www.linkedin.com/company/voister,"Voister är en nyhetssajt med tips, trender och branschens samlade erfarenheter inom it och digitalisering, från säkerhet till verksamhetsutveckling."
56,NP Investment A/S,Denmark,Hillerød,incredere_medie_de_verificat,79.1,5e1eacfe-1af9-11ec-9211-addac7307e1d,Np International A/S.,Np International A/S.,Denmark,Capital Region Of Denmark,Copenhagen,1357,Ingrid Marievej,,,,,,,,,,,,4545660202.0,,
57,ATREBO SL,Spain,Guillena,incredere_ridicata_automat,98.2,a32a0a45-93e4-11eb-90d2-e3355a7e800b,Atrebo,,Spain,Andalusia,Sevilla,41092,Calle Leonardo Da Vinci,Private,2011.0,8433512.0,modelled,49.0,extracted,Telecommunications Resellers,Telecommunication Services,IT&C Services,https://www.atrebo.com/,marketing@atrebo.com,34954711330.0,https://www.linkedin.com/company/atrebo,The Specialist in Infrastructure Digitalisation for Telco.
58,AV CENTER AALBORG ApS,Denmark,Nørresundby,incredere_ridicata_automat,107.5,b011b872-93e4-11eb-b4a6-27899be4e45d,AV CENTER,AV CENTER Aalborg ApS. | AV CENTER Cinema ApS. | AV CENTER Rental A/S. | AV CENTER Aarhus ApS.,Denmark,Capital Region Of Denmark,Brøndbyvester,2605,Søndre Ringvej,Private,1997.0,10000000.0,extracted,190.0,modelled,,"Rental, Repair & Maintenance",Other Professional Services,https://www.avcenter.dk/,cinema@avcenter.dk,4557820868.0,https://www.linkedin.com/company/av-center,AV CENTER er din landsdækkende leverandør af professionelt AV-udstyr. Vi omfatter alt lige fra salg og service til udlejning af AV-løsninger.
