input_row_key,input_company_name,input_country,input_city,n_candidates,chosen_veridion_id,chosen_company_name,chosen_country,chosen_city,chosen_website,match_score,runner_up_score,score_gap,distinctive_token_overlap,confidence_tier,review_action,review_note
37,ANDCO A/S,DK,Copenhagen,5,d7aa707f-93e4-11eb-9937-4fab995bf8ff,Andco A/S.,DK,Copenhagen,andco.dk,111.0,100.0,11.0,True,incredere_ridicata_automat,,
38,Annalect Denmark A/S,DK,Copenhagen,5,cfc5f77c-ce95-11ed-953a-9d8f156b9731,ANNALECT,DK,Copenhagen,annalectnordics.com,105.4,89.6,15.8,True,incredere_ridicata_automat,,
39,Anne Mette Lund,DK,Haderslev,5,02e56300-fff5-11eb-ba37-0759ad39afe6,Anne Lund,DK,Aalborg,annelund.dk,90.0,88.1,1.9,True,incredere_ridicata_automat,,
40,ANRITSU A/S,DK,Copenhagen,5,172e7ea7-0523-11ec-a64f-cb86dbe4969b,ANRITSU,,,tiancunwu.com,88.9,88.9,0.0,True,incredere_ridicata_automat,,
41,Aon Assessment Denmark A/S,DK,Copenhagen,5,8ebb9a30-f868-11ed-a012-23d8e35cf067,Aon Invest A/S.,DK,Aarhus,,65.2,54.6,10.6,True,incredere_medie_de_verificat,,
42,AON NORWAY AS,NO,Oslo,5,94b23b7a-a0a5-11ed-9081-2b8f862bccfc,Aon Norway,NO,Oslo,,111.0,61.7,49.3,True,incredere_ridicata_automat,,
43,APPDYNAMICS UK LTD,GB,London,5,f7b252d4-fa1c-11ec-83db-47cce081a4ab,AppDynamic,GB,Feltham,stluciakitefiesta.com,99.9,94.0,5.9,True,incredere_ridicata_automat,,
44,APPLE DISTRIBUTION INTERNATIONAL LIMITED,IE,,5,72b33d10-1afd-11ec-9842-212d1c52ad77,Apple Distribution International,IE,Cork,,108.0,98.0,10.0,True,incredere_ridicata_automat,,
45,APPLE DISTRIBUTION INTERNATIONAL LIMITED,IE,Cork,5,72b33d10-1afd-11ec-9842-212d1c52ad77,Apple Distribution International,IE,Cork,,111.0,101.0,10.0,True,incredere_ridicata_automat,,
46,Apple Malaysia Sdn. Bhd.,MY,Kuala Lumpur,5,50c0e708-22bf-11ec-9024-ef7bc13965aa,Apple Malaysia Sdn Bhd.,MY,Kuala Lumpur,,111.0,81.5,29.5,True,incredere_ridicata_automat,,
47,Apple South Asia (Thailand) Co Ltd,TH,Bangkok,5,,,,,,79.1,65.0,14.1,False,nerezolvat_nu_e_in_esantion,nerezolvat,'Asia Biogas' s-a potrivit doar pe cuvantul 'Asia'; nu e firma din Thailanda a Apple
48,ARELION NORWAY AS,NO,Oslo,5,2ea1cc81-6cec-11ec-b66d-cb87af2d682b,Arelion,,,arelion.wordpress.com,83.3,78.3,5.0,True,incredere_ridicata_automat,,
49,Arelion AB,SE,Stockholm,5,34818680-89c1-11ec-a621-3f13cdb5ccc4,Arelion,SE,Farsta,arelion.com,106.6,100.0,6.6,True,incredere_ridicata_automat,,
50,ARY COMMUNICATIONS LIMITED,PK,Karachi,5,bf0ce2f5-046a-11ec-9463-61636738658c,Jeeto Pakistan Helpline,,,jeetopakistanheadofficehelpline.com,100.0,85.2,14.8,True,incredere_ridicata_automat,,
51,"Ascio Technologies, Corp. Danmark - Filial af Ascio Technologies Corp. Canada",DK,Gentofte Municipality,5,c7288490-93e4-11eb-8859-29e7c34dee35,Ascio Technologies,DK,Copenhagen,ascio.com,82.3,75.7,6.6,True,incredere_ridicata_automat,,
52,ASIAINFO DENMARK ApS,DK,Copenhagen,5,835ed977-93e4-11eb-b5f6-816dd10ac7b0,AsiaInfo,CN,Nanchang,asiainfo.eu,94.7,84.4,10.3,True,incredere_ridicata_automat,,
53,Atea A/S,DK,Ballerup,5,431d0020-93e5-11eb-be5a-4f810ab55f2e,Atea Danmark,DK,Ballerup,atea.dk,93.4,77.2,16.2,True,incredere_ridicata_automat,,
54,ATEA AS,NO,Oslo,5,c9fab753-93e4-11eb-919a-b3f9a5ad205c,Atea Logistics,NO,Oslo,atea.com,111.0,106.7,4.3,True,incredere_ridicata_automat,,
55,Atea Sverige AB,SE,Stockholms Kommun,5,10fa6017-93e5-11eb-aa66-9b8d95e2171b,Voister,SE,Stockholm,voister.se,109.2,109.2,0.0,True,incredere_ridicata_automat,,
56,NP Investment A/S,DK,Hillerød,5,5e1eacfe-1af9-11ec-9211-addac7307e1d,Np International A/S.,DK,Copenhagen,,79.1,71.4,7.7,True,incredere_medie_de_verificat,,
57,ATREBO SL,ES,Guillena,5,a32a0a45-93e4-11eb-90d2-e3355a7e800b,Atrebo,ES,Sevilla,atrebo.com,98.2,94.4,3.8,True,incredere_ridicata_automat,,
58,AV CENTER AALBORG ApS,DK,Nørresundby,5,b011b872-93e4-11eb-b4a6-27899be4e45d,AV CENTER,DK,Brøndbyvester,avcenter.dk,107.5,84.8,22.7,True,incredere_ridicata_automat,,
59,aviat networks bangladesh ltd.,BD,,5,0fc3f2d0-0453-11ed-b02a-97e9d5b4bc17,Aviat Networks,,,aviatservices.com,85.9,63.2,22.7,True,incredere_ridicata_automat,,
60,Aviat Networks Japan LLC,JP,,5,a3b73ba0-c4fc-11ec-b6cb-fdc55dfeae3a,Aviat Networks,,,aviatnetworks.wordpress.com,91.2,91.2,0.0,True,incredere_ridicata_automat,,
61,AWAN DISTRIBUTION FZC,AE,Sharjah,5,85513392-93e4-11eb-90d2-e3355a7e800b,ISDF,AE,Sharjah,isdfuae.com,91.2,89.0,2.2,True,incredere_ridicata_automat,,
62,Axteq ApS,DK,Greve Strand,5,79b2afc2-9ba7-11ec-81bb-a98020a63841,Axteq,DK,Greve Strand,axteq.dk,111.0,80.1,30.9,True,incredere_ridicata_automat,,
63,Az-Technology Sdn. Bhd.,MY,Petaling Jaya,5,eea35cb5-1206-11ec-a59d-d5061f333c7e,AZ Technology,MY,Petaling Jaya,az-tech.my,111.0,100.0,11.0,True,incredere_ridicata_automat,,
64,BAE SYSTEMS APPLIED INTELLIGENCE (INTERNATIONAL) LIMITED,GB,Guildford,5,3ea0da62-8ab7-11ec-ac1c-2de22eb6a532,BAE Systems Applied Intelligence,GB,Guildford,baesystemsdetica.com,111.0,105.7,5.3,True,incredere_ridicata_automat,,
65,BASICO P/S,DK,Gentofte Municipality,5,9c00c37e-6d04-11ee-b24b-eb147ec3ebc2,Basico P/S.,DK,Gentofte Municipality,,111.0,98.5,12.5,True,incredere_ridicata_automat,,
66,"BB CONNECT CO.,LTD.",TH,,5,d5ca2e9c-1870-11f0-9560-e5d5dd4780a6,BB Connect LATAM,,,bbconnectlatam.com,100.0,95.0,5.0,True,incredere_ridicata_automat,,
67,Bb Technology Co Ltd,TH,Bangkok,5,6e4bcefd-115f-11ec-bd3c-8d2e345be4e0,BBtec,TH,Chatuchak,bbtec.co.th,106.5,100.0,6.5,True,incredere_ridicata_automat,,
68,BCD TRAVEL ASIA PACIFIC PTE. LTD.,SG,Singapore,5,ca15f420-7296-11ec-8f96-ed83df234696,Asia Pacific Travel Limited.,HK,Kowloon,asiapacifictravel.info,92.8,73.8,19.0,True,incredere_ridicata_automat,,
69,BCD N.V.,NL,Utrecht,5,7ea57014-93e4-11eb-8ad6-7326edce8d21,BCD Group,NL,Utrecht,bcdgroup.com,111.0,107.0,4.0,True,incredere_ridicata_automat,,
70,BEAT A/S,DK,Copenhagen,5,c62a45a0-6cf1-11ec-bd63-974170f7dbf6,Beat,DK,Copenhagen,beat.dk,111.0,77.9,33.1,True,incredere_ridicata_automat,,
71,"Beijing Dynamic Power Co., Ltd",CN,Fengtai District,5,d88f72e3-5c67-11ed-baea-7be3329391e4,Beijing Dynamic Power Co. Ltd.,CN,Baoding,xaqylm.com,107.1,99.2,7.9,True,incredere_ridicata_automat,,
72,BIGID INC.,US,,5,1cdc1a43-6dce-11ec-a314-7d00415f726f,BigID,US,New York,bigid.me,108.0,108.0,0.0,True,incredere_ridicata_automat,,
73,Binkies Holding B.V.,NL,The Hague,5,8bd572a1-01b3-11ef-a950-57d6400676e3,Binkies,NL,The Hague,binkiesdenhaag.nl,99.9,96.7,3.2,True,incredere_ridicata_automat,,
74,BLACKWOOD SEVEN A/S,DK,Copenhagen,5,0cb674d5-93e5-11eb-aa66-9b8d95e2171b,Blackwood Seven,DK,Copenhagen,blackwoodseven.com,111.0,93.1,17.9,True,incredere_ridicata_automat,,
75,Blom Soefeldt - Erhvervspsykologisk radgivning,DK,Copenhagen,5,1f377b2b-0c41-11ec-b09d-95ba7b1bb140,Blom Søefeldt - Erhvervspsykologisk Rådgivning,DK,Copenhagen,blomsoefeldt.dk,89.2,75.5,13.7,True,incredere_ridicata_automat,,
76,BOOST AI AS,NO,Sandnes,5,f6ae0b86-93e4-11eb-91fb-73d498260b10,Boost,NO,Sandnes,boost.ai,111.0,95.0,16.0,True,incredere_ridicata_automat,,
77,Bording Danmark A/S,DK,Glostrup,5,2bccad80-93e5-11eb-8474-3bbe2d07207d,Bording Central,DK,Roskilde Municipality,bordingcentral.dk,106.2,103.6,2.6,True,incredere_ridicata_automat,,
78,Braathens Regional Airways AB,SE,Stockholm,5,e06dbd72-5b1d-11ef-8bf4-3129dd2a123f,BRAATHENS REGIONAL AIRWAYS AB.,SE,Trollhättan,,106.8,98.8,8.0,True,incredere_ridicata_automat,,
79,BRAINCHILD COMMUNICATIONS PAKISTAN (PVT.) LIMITED,PK,,5,efc08410-93e4-11eb-a746-fdabd18be9c6,Brainchild Communications Pakistan,PK,Karachi Division,brainchild.net,108.0,94.3,13.7,True,incredere_ridicata_automat,,
80,Brobizz A/S,DK,Copenhagen,5,f6c033f6-93e4-11eb-8859-29e7c34dee35,Brobizz,DK,Copenhagen,brobizz.com,111.0,60.5,50.5,True,incredere_ridicata_automat,,
81,BUNDGAARD KOLETEKNIK. VEJLE A/S,DK,Vejle,5,91a6c984-27a7-11ef-ba21-2b94af863263,Bundgaard Køleteknik A/S.,DK,Vejle,,96.9,95.4,1.5,True,incredere_ridicata_automat,,
82,Bynder Holding B.V.,NL,Amsterdam,5,2a0c38dd-93e5-11eb-8474-3bbe2d07207d,Bynder,NL,Amsterdam,bynder.com,98.5,87.5,11.0,True,incredere_ridicata_automat,,
83,C&W Services (S) Pte. Ltd.,SG,Singapore,5,2d5be122-0a6a-11ec-b841-af64738d2bcd,CW Aero Services,SG,Singapore,cwaeroservices.com,82.0,63.2,18.8,True,incredere_ridicata_automat,,
84,CAMPANA GROUP PTE. LTD.,SG,,5,73d641b5-93e4-11eb-91fb-73d498260b10,Campana Group,SG,,campanaworks.com,108.0,100.0,8.0,True,incredere_ridicata_automat,,
85,CBRE AS,NO,Oslo,5,9dc12706-93e4-11eb-8e19-198fb02d6f96,CBRE Norway,NO,Oslo,cbre.no,111.0,86.0,25.0,True,incredere_ridicata_automat,,
86,CBRE Teknisk Servicepartner A/S,DK,Aalborg,5,57918a20-a8bb-11ed-9a6b-af642bb25f66,CBRE Teknisk servicepartner,DK,Aalborg,cbre-tekniskservicepartner.dk,111.0,89.8,21.2,True,incredere_ridicata_automat,,
87,CELLUSYS LIMITED,IE,Dublin 1,5,f0e66671-93e4-11eb-b4a6-27899be4e45d,Cellusys,IE,Dublin,cellusys.com,110.1,100.0,10.1,True,incredere_ridicata_automat,,
88,CENTERFORENINGEN FISKETORVET SHOPPING CENTER F.M.B.A.,DK,,5,ecde24a0-93e4-11eb-a33a-a3dfba582839,Fisketorvet,DK,Copenhagen,fisketorvet.dk,75.5,73.7,1.8,True,incredere_medie_de_verificat,,
89,CETIN Hungary Zrt.,HU,Törökbálint,5,ffcc1654-120e-11ec-8f83-091abf327b82,CETIN Hungary,HU,Törökbálint,cetin.hu,111.0,83.7,27.3,True,incredere_ridicata_automat,,
90,CHINA TELECOM GLOBAL LTD,HK,Hong Kong Island,5,26c39d80-93e5-11eb-be5a-4f810ab55f2e,China Telecom Global,HK,Hong Kong Island,chinatelecomglobal.com,111.0,97.1,13.9,True,incredere_ridicata_automat,,
91,CHINA UNICOM (SINGAPORE) OPERATIONS PTE. LTD.,SG,Singapore,5,c12f14b6-b6bc-11ef-b7fc-31383e76ec39,China Unicom Singapore Operations Limited,SG,Singapore,cuniq.sg,111.0,101.0,10.0,True,incredere_ridicata_automat,,
92,CHUBB GLOBAL RISK ADVISORS PTE. LTD.,SG,,5,4db78ad2-c000-11ec-8d01-9b40ae94c55f,Chubb Global Risk Advisors,SG,Singapore,cgra.com.sg,108.0,78.2,29.8,True,incredere_ridicata_automat,,
93,CIBICOM SERVICES A/S,DK,Ballerup,5,23947da4-93e5-11eb-a33a-a3dfba582839,Cibicom,DK,Ballerup,cibicom.com,111.0,94.5,16.5,True,incredere_ridicata_automat,,
94,CIENA LIMITED,GB,London,5,9cc86f27-93e4-11eb-8e19-198fb02d6f96,Ciena,GB,London,ciena.in,111.0,111.0,0.0,True,incredere_ridicata_automat,,
95,CISCO INTERNATIONAL LIMITED,GB,Feltham,5,4e8bfa9e-1afc-11ec-ba40-29b1c5bdeb83,Cisco International Limited,SG,Singapore,,92.8,92.7,0.1,True,incredere_ridicata_automat,,
96,CISCO NORWAY AS,NO,Bærum,5,9efd3f68-c418-11ef-92e8-6df27b7ad8f3,Cisco Systems Norway AS,NO,Bærum,,94.5,79.4,15.1,True,incredere_ridicata_automat,,
97,CITERO AS,NO,Trondheim,5,14fe8332-93e5-11eb-8ad6-7326edce8d21,Citero,NO,Trondheim,citero.no,111.0,111.0,0.0,True,incredere_ridicata_automat,,
98,"CLOUDERA, INC.",US,Santa Clara,5,def72ee7-93e4-11eb-aa66-9b8d95e2171b,ClouderaNOW24,US,Santa Clara,greaterrichmondhomeloanconnect.com,111.0,106.9,4.1,True,incredere_ridicata_automat,,
99,Comba Technologies Sdn. Bhd.,MY,Subang Jaya,5,,,,,,100.3,86.9,13.4,False,nerezolvat_nu_e_in_esantion,nerezolvat,"'Comba Telecom Inc.' (SUA) e acelasi brand global, dar probabil alta firma legal vorbind fata de filiala din Malaezia; 'OM Technologies' s-a potrivit doar pe sufixul generic 'Sdn Bhd'"
100,COMBA TELECOM LIMITED,HK,Hong Kong Island,5,85816b51-93e4-11eb-a736-0f5b20ecb2f1,Comba Telecom,HK,New Territories,comba-telecom.com,106.5,101.9,4.6,True,incredere_ridicata_automat,,
101,Comengineering Sdn. Bhd.,MY,Subang Jaya,5,eb823b24-1e9c-11ee-918e-3b99085851a3,COMENGINEERING SDN BHD.,MY,Subang Jaya,,111.0,88.4,22.6,True,incredere_ridicata_automat,,
102,COMMSCOPE SOLUTIONS SINGAPORE PTE. LTD.,SG,Singapore,5,8014aae6-1b04-11ec-a26e-73bd9076b4de,CommScope Solutions S Pte Ltd.,SG,,,98.5,89.2,9.3,True,incredere_ridicata_automat,,
103,CommScope Technologies AG,CH,Zurich,5,ff338e8e-b929-11ed-89f1-bd62b3e1c745,Commscope Technologies Ag,CH,Bachenbülach,,106.3,72.8,33.5,True,incredere_ridicata_automat,,
104,COMMSCOPE TECHNOLOGIES LLC,US,,5,7e64da92-e11e-11ec-b909-77b33c15dd42,Commscope Technologies K Ltdtd,KE,Nairobi,commscope-ea.com,87.3,87.0,0.3,True,incredere_ridicata_automat,,
105,COMVIVA TECHNOLOGIES LIMITED,IN,Gurugram,5,8913e0f5-93e4-11eb-91fb-73d498260b10,Comviva Technologies,IN,Gurugram,comviva.com,111.0,86.4,24.6,True,incredere_ridicata_automat,,
106,CONSCIA DANMARK A/S,DK,Glostrup,5,33c93c45-a7e0-11ef-af89-216a077ca7fb,Conscia Danmark A/S.,DK,Ringsted,laugesen.io,107.2,87.5,19.7,True,incredere_ridicata_automat,,
107,CONTROL RISKS GROUP LIMITED,GB,London,5,39dfe365-93e5-11eb-8e19-198fb02d6f96,Control risks,GB,London,controlrisks.com,111.0,111.0,0.0,True,incredere_ridicata_automat,,
108,CORPORATE COMMUNICATIONS AS,NO,Oslo,5,e48e4e11-93e4-11eb-919a-b3f9a5ad205c,Corporate Communications,NO,Oslo,corporatecommunications.no,111.0,78.2,32.8,True,incredere_ridicata_automat,,
109,"COUPA SOFTWARE, INC.",US,San Mateo,5,f62860c0-93e4-11eb-8e19-198fb02d6f96,Coupa,US,San Mateo,coupa.com,111.0,107.1,3.9,True,incredere_ridicata_automat,,
110,"COURSERA, INC.",US,Mountain View,5,4be4c2c9-19ac-11f0-8c60-6f90bb77efef,Coursera,US,Mountain View,malojabrd.top,111.0,111.0,0.0,True,incredere_ridicata_automat,,
111,CRAYON A/S,DK,Gladsaxe Municipality,5,b9ebf60e-f3c1-11ed-afbd-cd002aee0352,Crayon A/S.,DK,Silkeborg,,106.2,80.5,25.7,True,incredere_ridicata_automat,,
112,CRAYON AS,NO,Oslo,5,68be1d41-0513-11ec-a70c-db146ac6cf39,CEE CRAYON,NO,Oslo,cyber-security-forum.com,111.0,111.0,0.0,True,incredere_ridicata_automat,,
113,CRAYON PTE. LTD.,SG,,5,c446e865-93e4-11eb-b89f-536884b3e7dd,Crayon Data,SG,Singapore,crayondata.com,93.3,91.3,2.0,True,incredere_ridicata_automat,,
114,"CROWDSTRIKE SERVICES, INC.",US,Sunnyvale,5,01be7de3-0c24-11ec-aa7c-a3d935d57c91,CrowdStrike,US,Sunnyvale,mdcoin.net,96.5,96.5,0.0,True,incredere_ridicata_automat,,
115,Searcher ApS,DK,Aarhus Municipality,5,c7c58151-43ae-11ef-b5d2-e5c02fb4c089,Searcher,DK,Aarhus,searcher.dk,107.9,100.9,7.0,True,incredere_ridicata_automat,,
116,"CUSHMAN & WAKEFIELD SERVICES (THAILAND) CO., LTD.",TH,,5,e8e82741-5871-11ec-b633-39790144a985,Cushman & Wakefield Services Thailand Co. Ltd.,TH,Ratchathewi,,108.0,77.7,30.3,True,incredere_ridicata_automat,,
117,DADES Center Ost ApS,DK,Kongens Lyngby,5,1e999e70-93e5-11eb-91fb-73d498260b10,Dades,DK,Kongens Lyngby,dades.dk,81.0,80.6,0.4,True,incredere_ridicata_automat,,
118,BONNIER BUSINESS PRESS A/S,DK,Copenhagen,5,d73874c7-93e4-11eb-a736-0f5b20ecb2f1,Bonnier Magazine Data,DK,Copenhagen,bm-data.com,70.7,66.5,4.2,True,incredere_medie_de_verificat,,
119,DAILY JURRAT,PK,Civil Lines,5,a11480ae-2a2a-11ef-917e-edda38f44563,Daily Jurr'at,,,,82.3,76.8,5.5,True,incredere_ridicata_automat,,
120,Dansk Kredit Rad,DK,Greve Strand,5,070edae0-93e5-11eb-b4a6-27899be4e45d,Dansk Kredit Råd,DK,Køge,dk-r.dk,95.2,62.9,32.3,True,incredere_ridicata_automat,,
121,DANSK SUNDHEDSSIKRING KOMPLEMENTARSELSKAB ApS,DK,Herlev,5,1f89f1e3-93e5-11eb-b5f6-816dd10ac7b0,Dansk Sundhedssikring,DK,Herlev,ds-sundhed.dk,92.8,48.1,44.7,True,incredere_ridicata_automat,,
122,DANSKE BANK A/S,DK,,5,c6eb5470-93e4-11eb-9937-4fab995bf8ff,Danske Bank,DK,Copenhagen,danskebank.com,108.0,97.9,10.1,True,incredere_ridicata_automat,,
123,Dantec Nordics ApS,DK,Aabenraa Municipality,5,fdd5fee0-9bc7-11ec-abde-87ab8965fdf7,Dantec Nordics,DK,Aabenraa Municipality,dantec-nordics.dk,111.0,67.5,43.5,True,incredere_ridicata_automat,,
